name,brand,description,image_url
TASSELLATORE - LITIO CRH 20 BL N,Yamato,"voltaggio max: 20 V
attacco punte e scalpelli: SDS-Plus
potenza di percussione: 2,2 joules
giri minuto: 0~950
colpi al minuto: 0~4.300
capacità foratura legno: Ø 30 mm
capacità foratura pietra: Ø 24 mm
capacità foratura acciaio: Ø 13 mm
peso: 2,50 kg
motore brushless (senza spazzole)
4 funzioni: rotazione, rotazione+percussione, scalpellatura, regolazione angolo scalpello
inversione del senso di rotazione
impugnatura supplementare
luce frontale
solo corpo (batteria e caricabatteria non inclusi)",/images/yamato_prodotti/TASSELLATORE-LITIOCRH20BLN.webp
TASSELLATORE - LITIO CRH 20 L,Yamato,"voltaggio max: 20 V
attacco punte e scalpelli: SDS-Plus
potenza di percussione: 1,1 joules
giri minuto: 0~900
colpi al minuto: 0~5.000
capacità foratura legno: Ø 16 mm
capacità foratura pietra: Ø 10 mm
capacità foratura acciaio: Ø 8 mm
peso: 1,50 kg
2 funzioni: rotazione, rotazione+percussione
inversione del senso di rotazione
luce frontale
solo corpo (batteria e caricabatteria non inclusi)",/images/yamato_prodotti/TASSELLATORE-LITIOCRH20L.webp
TRAPANO AVVITATORE A PERCUSSIONE - LITIO CDP 20 BL,Yamato,"voltaggio max: 20 V
mandrino: 2-13 mm
n° velocità: 2
giri minuto: 0~500 / 0~2.000
colpi al minuto: 0~7.500 / 0~30.000
regolazione di coppia: 21+3
coppia massima: 65 Nm
peso: 1,40 kg
motore brushless (senza spazzole)
mandrino in metallo con sistema auto-lock
inversione del senso di rotazione
luce frontale
solo corpo (batteria e caricabatteria non inclusi)",/images/yamato_prodotti/TRAPANOAVVITATOREAPERCUSSIONE-LITIOCDP20BL.webp
TRAPANO AVVITATORE - LITIO CD 20 LB,Yamato,"voltaggio max: 20 V
Ampere: 2,0 Ah
mandrino: 10 mm
n° velocità: 2
giri minuto: 0~400 / 0~1.500
regolazione di coppia: 18+1
coppia massima: 30 Nm
caricabatterie: 1 h
peso: 1,21 kg
indicatore di carica
1 batteria in dotazione
luce frontale
inversione del senso di rotazione
valigetta plastica",/images/yamato_prodotti/TRAPANOAVVITATORE-LITIOCD20LB.webp
TRAPANO AVVITATORE - LITIO CD-X 20 LB,Yamato,"voltaggio max: 20 V
mandrino: 10 mm
n° velocità: 2
giri minuto: 0~400 / 0~1.500
regolazione di coppia: 18+1
coppia massima: 30 Nm
peso: 1,21 kg
indicatore di carica
luce frontale
inversione del senso di rotazione
solo corpo (batteria e caricabatteria non inclusi)",/images/yamato_prodotti/TRAPANOAVVITATORE-LITIOCD-X20LB.webp
AVVITATORE AD IMPULSI - LITIO CDI 20 L,Yamato,"voltaggio max: 20 V
mandrino: 1/4""
giri minuto: 0-2.200
colpi al minuto: 0-3.000
coppia massima: 180 Nm
peso: 1,40 kg
inversione del senso di rotazione
luce frontale
solo corpo (batteria e caricabatteria non inclusi)",/images/yamato_prodotti/AVVITATOREADIMPULSI-LITIOCDI20L.webp
AVVITATORE AD IMPULSI - LITIO CDI 20 BL N,Yamato,"voltaggio max: 20 V
mandrino: 1/2"" quadrato
n° velocità in avvitamento: 3
giri minuto: 0~1.800 / 0~2.200 / 0~2.600
colpi al minuto: 0~2.500 / 0~3.000 / 0~3.500
coppia massima: 400 Nm
peso: 1,20 kg
motore brushless (senza spazzole)
2 modalità in svitamento (velocità continua o rallentata)
inversione del senso di rotazione
luce frontale
solo corpo (batteria e caricabatteria non inclusi)",/images/yamato_prodotti/AVVITATOREADIMPULSI-LITIOCDI20BLN.webp
TRAPANO AVVITATORE COMPATTO - LITIO CD 20 BL,Yamato,"voltaggio max: 20 V
mandrino: 0,8-10 mm
n° velocità: 2
giri minuto: 0~400 / 0~1.400
regolazione di coppia: 18+1
coppia massima: 35 Nm
peso: 1,40 kg
motore brushless (senza spazzole)
inversione del senso di rotazione
luce frontale
solo corpo (batteria e caricabatteria non inclusi)",/images/yamato_prodotti/TRAPANOAVVITATORECOMPATTO-LITIOCD20BL.webp
TRAPANO AVVITATORE A PERCUSSIONE - LITIO CDP-X 20 L1,Yamato,"voltaggio max: 20 V
mandrino: 13 mm
n° velocità: 2
giri minuto: 0~350 / 0~1.250
colpi al minuto: 0~5.250 / 0~18.750
regolazione di coppia: 16
coppia massima: 40 Nm
peso: 1,50 kg
3 funzioni: trapano - percussione - avvitatore
indicatore di carica
luce frontale
indicatore di carica
inversione del senso di rotazione
solo corpo (batteria e caricabatteria non inclusi)",/images/yamato_prodotti/TRAPANOAVVITATOREAPERCUSSIONE-LITIOCDP-X20L1.webp
TRAPANO AVVITATORE A PERCUSSIONE - LITIO CDP 20 L1,Yamato,"voltaggio max: 20 V
Ampere: 2,0 Ah
mandrino: 13 mm
n° velocità: 2
giri minuto: 0~350 / 0~1.250
colpi al minuto: 0~5.250 / 0~18.750
regolazione di coppia: 16
coppia massima: 40 Nm
caricabatterie: 1 h
peso: 1,50 kg
3 funzioni: trapano - percussione - avvitatore
1 batteria in dotazione
indicatore di carica
luce frontale
inversione del senso di rotazione
valigetta plastica",/images/yamato_prodotti/TRAPANOAVVITATOREAPERCUSSIONE-LITIOCDP20L1.webp
TRAPANO AVVITATORE - LITIO CDQ 12 LV,Yamato,"voltaggio max: 12 V
Ampere: 2,0 Ah
mandrino: 10 mm
n° velocità: 2
giri minuto: 0~350 / 0~1.350
regolazione di coppia: 18+1
coppia massima: 25 Nm
caricabatterie: 1 h
peso: 0,83 kg
cambio rapido mandrino
1 batteria in dotazione da 2,0 Ah
indicatore di carica
inversione del senso di rotazione
luce frontale
valigetta plastica",/images/yamato_prodotti/TRAPANOAVVITATORE-LITIOCDQ12LV.webp
TRAPANO AVVITATORE - LITIO CDM 12 LV,Yamato,"voltaggio max: 12 V
Ampere: 1,3 Ah
mandrino: 10 mm
n° velocità: 2
giri minuto: 0~350/0~1.300
regolazione di coppia: 19+1
coppia massima: 25 Nm
caricabatterie: 3-5 h
peso: 1 kg
indicatore di carica
inversione del senso di rotazione
luce frontale
porta bits magnetico",/images/yamato_prodotti/TRAPANOAVVITATORE-LITIOCDM12LV.webp
