name,brand,description,image_url
Martello demolitore TE 700-AVR SDS-Max,Hilti,"Potente martello demolitore SDS Max (TE-Y) per una scalpellatura pesante nel calcestruzzo e muratura, con Sistema di Riduzione delle Vibrazioni (AVR, Active Vibration Reduction)",/images/hilti_prodotti/MartellodemolitoreTE700-AVRSDS-Max.webp
TE 800-AVR,Hilti,"Robusto demolitore / martello demolitore con lunga durata di vita - ad alte prestazioni, basse vibrazioni - per lavorare a parete e solaio",/images/hilti_prodotti/TE800-AVR.webp
Demolitore per calcestruzzo TE 1000-AVR,Hilti,Demolitore versatile per demolizione o scalpellatura di pavimenti e applicazioni occasionali su pareti (con cavo di alimentazione universale),/images/hilti_prodotti/DemolitorepercalcestruzzoTE1000-AVR.webp
Martello pneumatico cordless TE 2000-22,Hilti,Martello pneumatico a batteria potente e leggero per la frantumazione del calcestruzzo e altri lavori di demolizione (piattaforma batteria Nuron),/images/hilti_prodotti/MartellopneumaticocordlessTE2000-22.webp
TE 2000-AVR,Hilti,Demolitore TE-S potente ed estremamente leggero per calcestruzzo e demolizioni,/images/hilti_prodotti/TE2000-AVR.webp
Martello pneumatico elettrico TE 3000-AVR per uso intensivo,Hilti,"Demolitore eccezionalmente potente per demolizioni pesanti nel calcestruzzo, il taglio di asfalto, la messa a terra e la posa di barre a terra",/images/hilti_prodotti/MartellopneumaticoelettricoTE3000-AVRperusointensivo.webp
Trapano avvitatore a batteria SF 4-22,Hilti,Trapano avvitatore a batteria compatto con regolazione attiva della coppia per applicazioni quotidiane di perforazione e avvitamento soprattutto in luoghi difficili da raggiungere (piattaforma della batteria Nuron),/images/hilti_prodotti/TrapanoavvitatoreabatteriaSF4-22.webp
Trapano a percussione a batteria SF 4H-22,Hilti,Trapano a percussione compatto con regolazione attiva della coppia (ATC) per applicazioni quotidiane di perforazione e avvitamento soprattutto in luoghi difficili da raggiungere (piattaforma della batteria Nuron),/images/hilti_prodotti/TrapanoapercussioneabatteriaSF4H-22.webp
Trapano avvitatore a batteria SF 6-22,Hilti,Trapano avvitatore di classe superiore con regolazione attiva della coppia ed ergonomia avanzata per la foratura e l'avvitamento universali su legno e metallo (piattaforma a batteria Nuron),/images/hilti_prodotti/TrapanoavvitatoreabatteriaSF6-22.webp
Trapano a percussione a batteria SF 6H-22,Hilti,"Trapano a percussione di classe superiore con regolazione attiva della coppia ed ergonomia avanzata per la foratura e l'avvitamento universali su legno, metallo e muratura (piattaforma a batteria Nuron)",/images/hilti_prodotti/TrapanoapercussioneabatteriaSF6H-22.webp
Trapano avvitatore a batteria SF 8M-22,Hilti,"Trapano avvitatore a batteria con mandrini intercambiabili, maggior momento torcente, RPM più elevati e velocità regolabile",/images/hilti_prodotti/TrapanoavvitatoreabatteriaSF8M-22.webp
Trapano avvitatore a batteria SF 10W-22,Hilti,"Trapano avvitatore a batteria a coppia più elevata, specializzato in applicazioni impegnative nel legno e in altri materiali",/images/hilti_prodotti/TrapanoavvitatoreabatteriaSF10W-22.webp
Avvitatore a batteria per cartongesso SD 5000-22,Hilti,"Avvitatore per cartongesso cordless con potente batteria Nuron per una coppia maggiore e viti per ogni carica quando si appende cartongesso, pannelli di legno e guaine esterne",/images/hilti_prodotti/AvvitatoreabatteriapercartongessoSD5000-22.webp
Avvitatore metallico ST 2000-22 cordless,Hilti,Avvitatore cordless per metallo più leggero e potente per applicazioni di fissaggio pesanti,/images/hilti_prodotti/AvvitatoremetallicoST2000-22cordless.webp
Trapano avvitatore a batteria SBT 6-22,Hilti,Attrezzo di foratura e avvitatura per la pre-foratura di fori precisi e l'installazione di perni avvitabili S-BT (piattaforma batteria Nuron),/static/ui/contents/R2025-19/assets/images/noimage_placeholder_full.png
Trapano avvitatore multitesta SFE 2-A12,Hilti,"Trapano avvitatore sub-compatto a batteria multitesta da 12 V (offset, ad angolo retto, senza utensili da 13 mm e porta-inserti esagonale) per lavori d'installazione in spazi ristretti e in prossimità di angoli",/images/hilti_prodotti/TrapanoavvitatoremultitestaSFE2-A12.webp
Trapano avvitatore a batteria SF 2-A12,Hilti,"Trapano avvitatore sub-compatto a batteria Li-Ion da 12 V con motore brushless e mandrino senza chiavetta da 10 mm, garantisce elevata accessibilità unita a leggerezza e precisione",/images/hilti_prodotti/TrapanoavvitatoreabatteriaSF2-A12.webp
Trapano a percussione a batteria SF 2H-A12,Hilti,"Trapano a percussione sub-compatto da 12 V con motore brushless, garantisce elevata accessibilità unita a leggerezza e precisione",/images/hilti_prodotti/TrapanoapercussioneabatteriaSF2H-A12.webp
Trapano avvitatore a batteria SF 4-A22,Hilti,Trapano avvitatore compatto a batteria da 22 V con motore brushless quando servono prestazioni superiori nei lavori leggeri o i posti difficili da raggiungere,/images/hilti_prodotti/TrapanoavvitatoreabatteriaSF4-A22.webp
Trapano avvitatore a batteria SF 6-A22,Hilti,"Potente trapano avvitatore a batteria da 22 V con Active Torque Control e frizione elettronica per uso universale su legno, metallo e altri materiali",/images/hilti_prodotti/TrapanoavvitatoreabatteriaSF6-A22.webp
Trapano a percussione a batteria SF 6H-A22,Hilti,"Potente trapano a percussione a batteria da 22 V con Active Torque Control e frizione elettronica per uso universale su legno, metallo, muratura e altri materiali",/images/hilti_prodotti/TrapanoapercussioneabatteriaSF6H-A22.webp
Trapano avvitatore a batteria SF 8M-A22,Hilti,Trapano avvitatore a batteria da 22 V di altissima classe con cambio a quattro marce e mandrino sicuro per ridurre lo scivolamento della punta e per alte prestazioni nelle applicazioni di foratura del metallo,/images/hilti_prodotti/TrapanoavvitatoreabatteriaSF8M-A22.webp
Trapano avvitatore a batteria SF 10W-A22 ATC,Hilti,Trapano avvitatore a batteria da 22 V di altissima classe con Active Torque Control e cambio a quattro marce per una coppia elevata in applicazioni impegnative in legno e altri materiali,/images/hilti_prodotti/TrapanoavvitatoreabatteriaSF10W-A22ATC.webp
Avvitatore a batteria SFD 2-A-12,Hilti,"Trapano avvitatore brushless da 1/4"" esagonale da 12 V di classe sub-compatta, per chi ha bisogno di compattezza e di un'avvitatura efficiente, proteggendo i materiali",/images/hilti_prodotti/AvvitatoreabatteriaSFD2-A-12.webp
Avvitatore a batteria ST 1800-A22,Hilti,Avvitatore a batteria con coppia regolabile per applicazioni in acciaio e metallo,/images/hilti_prodotti/AvvitatoreabatteriaST1800-A22.webp
Trapano a batteria SF BT,Hilti,Trapano a batteria per pre-foratura di fori accurati per chiodi X-BT,/images/hilti_prodotti/TrapanoabatteriaSFBT.webp
Avvitatore per costruzioni metalliche ST 1800,Hilti,Avvitatore con coppia regolabile per applicazioni in acciaio e metallo,/images/hilti_prodotti/AvvitatorepercostruzionimetallicheST1800.webp
Trapano avvitatore UD 16,Hilti,"Trapano avvitatore elettrico a due velocità, a coppia elevata per applicazioni in legno",/images/hilti_prodotti/TrapanoavvitatoreUD16.webp
Trapano avvitatore UD 30,Hilti,"Trapano avvitatore elettrico a due velocità, con giri/minuto elevati, per applicazioni in metallo",/images/hilti_prodotti/TrapanoavvitatoreUD30.webp
Avvitatore a impulsi a batteria SID 4-22,Hilti,Avvitatore a impulsi brushless compatto ottimizzato per un fissaggio non strutturale più affidabile ed efficiente nel legno e nel metallo (piattaforma a batteria Nuron),/images/hilti_prodotti/AvvitatoreaimpulsiabatteriaSID4-22.webp
Avvitatore a impulsi ad angolo retto SID 4R-22,Hilti,"Avvitatore a impulsi cordless, compatto e ad angolo retto per raggiungere le applicazioni di difficile accesso",/images/hilti_prodotti/AvvitatoreaimpulsiadangolorettoSID4R-22.webp
Avvitatore a impulsi a batteria SID 6-22,Hilti,Avvitatore a impulsi a batteria cordless di grande potenza con motore brushless e precisa maneggevolezza per risparmiare tempo nei lavori di fissaggio ad alto volume (piattaforma a batteria Nuron),/images/hilti_prodotti/AvvitatoreaimpulsiabatteriaSID6-22.webp
Avvitatore a impulsi a batteria SIW 4AT-22 ½”,Hilti,Avvitatore a impulsi a batteria di classe compatta con il massimo equilibrio tra potenza e maneggevolezza (piattaforma a batteria Nuron),/images/hilti_prodotti/AvvitatoreaimpulsiabatteriaSIW4AT-22½.webp
"Avvitatori a impulsi a batteria SID 8-22 7/16""",Hilti,Avvitatori a impulsi a batteria di classe superiore per perforazione di diametri più grandi e fissaggi,/images/hilti_prodotti/AvvitatoriaimpulsiabatteriaSID8-22716.webp
Avvitatore a impulsi ad angolo retto SIW 4R-22 3/8”,Hilti,"Chiave a impatto compatta e cordless, angolare, per raggiungere applicazioni difficili da accedere",/images/hilti_prodotti/AvvitatoreaimpulsiadangolorettoSIW4R-2238.webp
Avvitatore a impulsi a coppia media SIW 6AT-22,Hilti,"Avvitatore a impulsi 22V di grande potenza con robusto attacco per anello di frizione da 1/2"" per ancoraggi e bullonature più rapidi e sicuri",/images/hilti_prodotti/AvvitatoreaimpulsiacoppiamediaSIW6AT-22.webp
Avvitatore a impulsi a batteria SIW 8-22 da ½”,Hilti,"Avvitatore a impulsi a batteria di ultima generazione, a coppia elevata, con albero con anello di frizione da 1/2"" per bullonature e ancoraggi strutturali (piattaforma a batteria Nuron)",/images/hilti_prodotti/AvvitatoreaimpulsiabatteriaSIW8-22da½.webp
"Avvitatore a impulsi a batteria SIW 10-22 con coppia elevata (attacco da 3/4"")",Hilti,"Avvitatore a impulsi a batteria di ultima generazione con coppia elevata, con percussore con attacco da ¾” e anello di frizione per bullonature e ancoraggi strutturali pesanti",/images/hilti_prodotti/AvvitatoreaimpulsiabatteriaSIW10-22concoppiaelevataattaccoda34.webp
Avvitatore a impulsi a batteria SID 2-A12,Hilti,"Avvitatore a impulsi di classe extra-compatta a batteria Li-Ion da 12 V con motore brushless e mandrino esagonale da 1/4"" quando serve uno strumento leggero e poco ingombrante, senza sacrificare una coppia elevata",/images/hilti_prodotti/AvvitatoreaimpulsiabatteriaSID2-A12.webp
Avvitatore a impulsi cordless SIW 2-A12,Hilti,"Avvitatore a impulsi cordless di classe subcompatta con albero con anello di attrito da 3/8"" per ancoraggi e bullonature economiche, soprattutto in spazi ristretti",/images/hilti_prodotti/AvvitatoreaimpulsicordlessSIW2-A12.webp
"Avvitatore a impulsi a batteria SIW 22T-A 1/2""",Hilti,"Avvitatore a impulsi a coppia elevata da 22V della massima qualità con perno di arresto da 1/2"" per l'ancoraggio e l'avvitatura",/images/hilti_prodotti/AvvitatoreaimpulsiabatteriaSIW22T-A12.webp
"Avvitatore a impulsi a batteria SIW 9-A22 3/4""",Hilti,"Avvitatore a impulsi a coppia elevata da 22V della massima qualità con albero per foro passante da 3/4"" per l'avvitatura e l'ancoraggio",/images/hilti_prodotti/AvvitatoreaimpulsiabatteriaSIW9-A2234.webp
Troncatrice a batteria DSH 600-22,Hilti,"Sega da taglio a batteria per calcestruzzo, metallo e muratura (piattaforma batteria Nuron)",/images/hilti_prodotti/TroncatriceabatteriaDSH600-22.webp
Troncatrice a batteria DSH 700-22 (maniglia posteriore),Hilti,"Troncatrice a batteria a uso intensivo con maniglia posteriore per calcestruzzo, metallo e muratura (piattaforma a batteria Nuron)",/images/hilti_prodotti/TroncatriceabatteriaDSH700-22manigliaposteriore.webp
Troncatrice a scoppio DSH 600-X (300 mm),Hilti,"Troncatrice a scoppio compatta (63 cc) con maniglia in alto e freno lama per il taglio fino a 120 mm con lame da 300 mm nel calcestruzzo, muratura e metallo",/images/hilti_prodotti/TroncatriceascoppioDSH600-X300mm.webp
Troncatrice manuale a scoppio DSH 700-X,Hilti,"Versatile troncatrice manuale a scoppio da 70 cc, con maniglia posteriore provvista di avviamento automatico – profondità di taglio fino a 125 mm",/images/hilti_prodotti/TroncatricemanualeascoppioDSH700-X.webp
Troncatrice manuale a scoppio DSH 900-X (400 mm),Hilti,"Troncatrice manuale a scoppio potente e di facile avvio con con motore da 87 cc, con avviamento automatico - diametro max. lama 400 mm per tagli fino a 150 mm di profondità",/images/hilti_prodotti/TroncatricemanualeascoppioDSH900-X400mm.webp
Sistema elettrico di taglio DCH 300-X,Hilti,Sistema elettrico da taglio a diamante manuale a secco e ad acqua – profondità di taglio fino a 120 mm con lame da 305 mm,/images/hilti_prodotti/SistemaelettricoditaglioDCH300-X.webp
