name,brand,descrizione,categoria,image_url
Smerigliatrice angolare 800W 125mm,ryobi,Nuovo sistema LLO di protezione contro gli avvii accidentali in caso di interruzione dell'alimentazione elettrica Impugnatura laterale regolabile in 2 posizioni Pulsante di blocco dell'albero per la sostituzione rapida della mola,elettroutensili,/images/ryobi_prodotti/Smerigliatriceangolare800W125mm.webp
Sega circolare 1400W 66mm,ryobi,"Lama di alta qualità 190mm TCT a 20 denti per una performance di taglio eccezionale Capacità di taglio di 66mm a 90°, 55mm a 45° Fino al 30% più compatto e il 20% più leggero rispetto alle versioni precedenti",elettroutensili,/images/ryobi_prodotti/Segacircolare1400W66mm.webp
Sega Circolare 184mm 18V Brushless,ryobi,Il motore brushless elimina l'attrito e fornisce la potenza per tagliare diverse varietà di legno Semplice regolazione di profondità e inclinazione senza l'utlizzo di chiavi Guardia superiore per una maggiore resistenza,elettroutensili,/images/ryobi_prodotti/SegaCircolare184mm18VBrushless.webp
Smerigliatrice angolare 600W 115mm,ryobi,Nuovo sistema LLO di protezione contro gli avvii accidentali in caso di interruzione dell'alimentazione elettrica Impugnatura laterale regolabile in 2 posizioni Pulsante di blocco dell’albero per la sostituzione rapida della mola,elettroutensili,/images/ryobi_prodotti/Smerigliatriceangolare600W115mm.webp
Smerigliatrice angolare 125mm 18V BRUSHLESS,ryobi,L'elettronica intelligente regola costantemente il motore per la massima autonomia 3 posizioni di impugnatura per un miglior controllo Tecnologia Anti-kickback elettronico che disattiva il motore quando viene rilevato un inceppamento per la sicurezza dell'utilizzatore,elettroutensili,/images/ryobi_prodotti/Smerigliatriceangolare125mm18VBRUSHLESS.webp
Kit 18V: R18PD3 + R18AG,ryobi, ,elettroutensili,/images/ryobi_prodotti/Kit18VR18PD3R18AG.webp
R18CK4E-242S,ryobi, ,elettroutensili,/images/ryobi_prodotti/R18CK4E-242S.webp
RCK183D-242S,ryobi, ,elettroutensili,/images/ryobi_prodotti/RCK183D-242S.webp
"Kit 4 utensili: Trapano Avvitatore, Sega Circolare, Seghetto Alternativo, Torcia",ryobi, ,elettroutensili,/images/ryobi_prodotti/Kit4utensiliTrapanoAvvitatoreSegaCircolareSeghettoAlternativoTorcia.webp
"KIT PERCUSSIONE + IMPULSI CON 2 BATTERIE 2,0AH",ryobi,R18PD3 R18ID2,elettroutensili,/images/ryobi_prodotti/KITPERCUSSIONEIMPULSICON2BATTERIE20AH.webp
RCK183I-242S,ryobi, ,elettroutensili,/images/ryobi_prodotti/RCK183I-242S.webp
"Kit trapano a percussione compatto 18V ONE+™ Brushless e compressore compatto ad alta pressione (2x 2,0Ah)",ryobi,Trapano a percussione Brushless RPD18BL1 Compressore compatto R18PI,elettroutensili,/images/ryobi_prodotti/Kittrapanoapercussionecompatto18VONEBrushlessecompressorecompattoadaltapressione2x20Ah.webp
Graffatrice compatta 18V,ryobi,"Graffatrice compatta a batteria per vari progetti fai-da-te, inclusi decorazioni per la casa e tappezzeria Design compatto e leggero per un estremo comfort durante l'uso Compatibile con graffette da 10 mm di altezza 6-14 mm per una vasta gamma di applicazioni",elettroutensili,/images/ryobi_prodotti/Graffatricecompatta18V.webp
Utensile rotativo 4V,ryobi,"Ideale per molteplici lavorazioni: foratura, taglio, levigatura, lucidatura, incisione, ... Differenti velocità per differenti materiali: 5.000-25.000 g/min Cambio accessorio semplice e rapido, senza necessità di chiave",elettroutensili,/images/ryobi_prodotti/Utensilerotativo4V.webp
Avvitasvita Ergonomico 4V USB Lithium™ (1x 2.0Ah),ryobi,Perfetto per assemblare mobili o avvitare piccole viti L'avvitasvita è alimentato da una batteria 4V USB Lithium™ estraibile e ricaricabile compatibile con qualsiasi altro strumento della gamma USB Lithium™RYOBI® Include 10 punte per avvitare differenti viti,elettroutensili,/images/ryobi_prodotti/AvvitasvitaErgonomico4VUSBLithium1x20Ah.webp
RR18-0,ryobi, ,elettroutensili,/images/ryobi_prodotti/RR18-0.webp
Graffatrice 18V,ryobi,"Tecnologia ad aria compressa AirStrike™ per il massimo della maneggevolezza Graffe a corona stretta (5.5 - 6.1mm) lunghezza da 10 a 38mm 2 modalità d'uso: colpo singolo o sequenziale Regolatore della profondita' di uscita delle graffe, tramite apposita rotella",elettroutensili,/images/ryobi_prodotti/Graffatrice18V.webp
