name,brand,description,price,image_url
Webercol smart adesivo cementizio grigio sacco kg 5 C1TE,Weber,"Adesivo cementizio a scivolamento verticale nullo ed elevata scorrevolezza per la posa in interno ed esterno tipo c1te, en 12004:2007+a1:2012",N/A,/images/weber_prodotti/Webercolsmartadesivocementiziogrigiosaccokg5C1TE.webp
Webercol progres top s1 adesivo cementizio bianco sacco kg 5 C2TES1,Weber,"Adesivo cementizio deformabile con adesione e resistenza elevate, per qualsiasi tipologia di ceramica, in sovrapposizione, gres ceramico in piscina, in facciata. C2TES1",N/A,/images/weber_prodotti/Webercolprogrestops1adesivocementiziobiancosaccokg5C2TES1.webp
Webercol progres top s1 adesivo cementizio bianco sacco kg 25 C2TES1,Weber,"Adesivo cementizio deformabile con adesione e resistenza elevate, per qualsiasi tipologia di ceramica, in sovrapposizione, gres ceramico in piscina, in facciata. C2TES1",N/A,/images/weber_prodotti/Webercolprogrestops1adesivocementiziobiancosaccokg25C2TES1.webp
Webercol progres top s1 adesivo cementizio grigio sacco kg 5 C2TES1,Weber,"Adesivo cementizio deformabile con adesione e resistenza elevate, per qualsiasi tipologia di ceramica, in sovrapposizione, gres ceramico in piscina, in facciata. C2TES1",N/A,/images/weber_prodotti/Webercolprogrestops1adesivocementiziogrigiosaccokg5C2TES1.webp
Webercol progres top s1 adesivo cementizio grigio sacco kg 25 C2TES1,Weber,"Adesivo cementizio deformabile con adesione e resistenza elevate, per qualsiasi tipologia di ceramica, in sovrapposizione, gres ceramico in piscina, in facciata. C2TES1",N/A,/images/weber_prodotti/Webercolprogrestops1adesivocementiziogrigiosaccokg25C2TES1.webp
Webercol fix cr collante  secchio kg 10,Weber,"Collante reattivo bicomponente epossi-poliuretanico flessibile bi-componente per qualsiasi tipologia di ceramica, marmo, pietre su supporti altamente deformabili",N/A,/images/weber_prodotti/Webercolfixcrcollantesecchiokg10.webp
Webercem rs350 rasante cementizio bianco sacco kg 5,Weber,"Rasante cementizio per intonaci, a finitura civile, traspirante,  per interni ed esterni. ottima lavorabilità e facilità di ripresa. antifessurazione. a norma en 998-1",N/A,/images/weber_prodotti/Webercemrs350rasantecementiziobiancosaccokg5.webp
Webercem rs350 rasante cementizio bianco sacco kg 25,Weber,"Rasante cementizio per intonaci, a finitura civile, traspirante,  per interni ed esterni. ottima lavorabilità e facilità di ripresa. antifessurazione. a norma en 998-1",N/A,/images/weber_prodotti/Webercemrs350rasantecementiziobiancosaccokg25.webp
Webercem rp370 rasante cementizio bianco sacco kg 25,Weber,"Rasante idrofugato traspirante per intonaci o calcestruzzo, a finitura civile media, esterno ed interno. ottima adesione anche su supporti critici come cls o solai predalles.",N/A,/images/weber_prodotti/Webercemrp370rasantecementiziobiancosaccokg25.webp
Webercem rn360 rasante cementizio bianco sacco kg 25,Weber,"Rasante idrofugato traspirante per intonaci o calcestruzzo, a finitura liscia, di colore bianco per esterni ed interni. ottima lavorabilità e facilità di ripresa.",N/A,/images/weber_prodotti/Webercemrn360rasantecementiziobiancosaccokg25.webp
Webercem rasazero rasante traspirante bianco sacco kg 5,Weber,"Rasante traspirante liscio di colore bianco. per pareti a effetto liscio o speculare a platrio. ottimo fondo per pitture e carte da parati, riempitivo sulle irregolarità.",N/A,/images/weber_prodotti/Webercemrasazerorasantetraspirantebiancosaccokg5.webp
Webercem rasazero rasante traspirante bianco sacco kg 25,Weber,"Rasante traspirante liscio di colore bianco. per pareti a effetto liscio o speculare a platrio. ottimo fondo per pitture e carte da parati, riempitivo sulle irregolarità.",N/A,/images/weber_prodotti/Webercemrasazerorasantetraspirantebiancosaccokg25.webp
Webercem ra30 start rasante cementizio bianco sacco kg 25,Weber,"Rasante cementizio ad elevata adesione,interno o esterno su cls e predalles, ottima adesione su rivestimenti plastici, mosaici o ceramici. resistente alla carbonatazione.",N/A,/images/weber_prodotti/Webercemra30startrasantecementiziobiancosaccokg25.webp
Webercem ra30 start rasante cementizio grigio sacco kg 25,Weber,"Rasante cementizio ad elevata adesione,interno o esterno su cls e predalles, ottima adesione su rivestimenti plastici, mosaici o ceramici. resistente alla carbonatazione.",N/A,/images/weber_prodotti/Webercemra30startrasantecementiziogrigiosaccokg25.webp
Webercem ra30 maxi rasante cementizio bianco sacco kg 25,Weber,"Rasante cementizio fibrato ad elevata adesione, applicabile in alti spessori anche a macchina per regolarizzare la facciata. elevata resistenza alla carbonatazione",N/A,/images/weber_prodotti/Webercemra30maxirasantecementiziobiancosaccokg25.webp
Webercem ra30 rasante cementizio bianco sacco kg 25,Weber,"Rasante cementizio universale ad elevata adesione. interno e esterno per cls predalles. aderisce su rivestimenti plastici, mosaici, ceramiche. resiste alla carbonatazione.",N/A,/images/weber_prodotti/Webercemra30rasantecementiziobiancosaccokg25.webp
Webercem ra30 rasante cementizio grigio sacco kg 25,Weber,"Rasante cementizio universale ad elevata adesione. interno e esterno per cls predalles. aderisce su rivestimenti plastici, mosaici, ceramiche. resiste alla carbonatazione.",N/A,/images/weber_prodotti/Webercemra30rasantecementiziogrigiosaccokg25.webp
Webercalce rasatura l bianco sacco kg 20,Weber,"Finitura bianca liscia alla calce idraulica naturale nhl3,5. prodotto minerale naturale ad elevata traspirabilità per migliorare il comfort abitativo, esente da cemento.",N/A,/images/weber_prodotti/Webercalcerasaturalbiancosaccokg20.webp
Webercalce rasatura beige sacco kg 25,Weber,"Finitura civile alla calce idraulica naturale nhl5 per una finitura civile. prodotto minerale ad elevata traspirabilità per migliorare il comfort abitativo, senza cemento.",N/A,/images/weber_prodotti/Webercalcerasaturabeigesaccokg25.webp
Webercalce into g intonaco beige sacco kg 25,Weber,"Intonaco tradizionale a grana media di calce idraulica naturale nhl5 ad applicazione manuale manuale o a macchina in interno o esterno, senza cemento, traspirabile",N/A,/images/weber_prodotti/Webercalceintogintonacobeigesaccokg25.webp
Weber rz rasante bianco sacco kg 4,Weber,Finitura liscia a base di calce e gesso per intonaci interni. per la rasatura di pareti a effetto liscio o speculare a platrio. ottimo fondo per pitture e carte da parati.,N/A,/images/weber_prodotti/Weberrzrasantebiancosaccokg4.webp
Weber rz rasante bianco sacco kg 25,Weber,Finitura liscia a base di calce e gesso per intonaci interni. per la rasatura di pareti a effetto liscio o speculare a platrio. ottimo fondo per pitture e carte da parati.,N/A,/images/weber_prodotti/Weberrzrasantebiancosaccokg25.webp
Weber quarzo sabbia di quarzo  sacco kg 25,Weber,"Sabbia di quarzo per lo spolvero su resine epossidiche. lavata ed essiccata costituita da quarzi calibrati, di elevata purezza.",N/A,/images/weber_prodotti/Weberquarzosabbiadiquarzosaccokg25.webp
Weber mp910 malta premiscelata grigio sacco kg 25,Weber,"Malta premiscelata da muratura di classe m5 inerte massimo 3 mm granulometria grossa.  supporto blocchi in cemento, laterizio, mattoni, pietra mista, termolaterizio",N/A,/images/weber_prodotti/Webermp910maltapremiscelatagrigiosaccokg25.webp
Weber facciavista malta idrofugata grigio cemento sacco kg 25,Weber,Malta idrofugata da muratura faccia a vista di classe m5  per elevazione e stilatura esterne ed interne in mattoni o pietre per una facciata o una parete faccia a vista.,N/A,/images/weber_prodotti/Weberfacciavistamaltaidrofugatagrigiocementosaccokg25.webp
Weber fa98 feltro fonoassorbente rotolo 20mq. larghezza mt. 1 lunghezza mt 20,Weber,"Feltro fonoassorbente per isolamento sotto massetto, antifessurazione e pronto all'uso. miglioramento dell’isolamento acustico al rumore di calpestìo, venduto a rotolo intero 20 mq",N/A,/images/weber_prodotti/Weberfa98feltrofonoassorbenterotolo20mqlarghezzamt1lunghezzamt20.webp
Weber dl60 disarmante liquido  tanica lt 5,Weber,Disarmante liquido a base di olii minerali emulsionabili in acqua. per il trattamento antiadesivo di casseforme in legno e qualsiasi tipo destinate a contenere calcestruzzo,N/A,/images/weber_prodotti/Weberdl60disarmanteliquidotanicalt5.webp
Weber dl60 disarmante liquido  tanica lt 20,Weber,Disarmante liquido a base di olii minerali emulsionabili in acqua. per il trattamento antiadesivo di casseforme in legno e qualsiasi tipo destinate a contenere calcestruzzo,N/A,/images/weber_prodotti/Weberdl60disarmanteliquidotanicalt20.webp
