name,brand,description,price,image_url
Webertec elicafix a10 barra a forma elicoidale in acciaio aisi 316 dm 10 mm,Weber,Barra a forma elicoidale in acciaio aisi 316 ad elevate prestazioni meccaniche per interventi anti sismico o per interventi localizzati di rinforzo e consolidamento. dm 10 mm,N/A,/images/weber_prodotti/Webertecelicafixa10barraaformaelicoidaleinacciaioaisi316dm10mm.webp
Silicone  adesivo  sigillante webercolor hs 290 ml grigio,Weber,"adesivo sigillante flessibile universale a base di polimeri silano modificati, esente da solventi e isocianati, antimuffa, verniciabile.",N/A,/images/weber_prodotti/Siliconeadesivosigillantewebercolorhs290mlgrigio.webp
Weberdry pronto 24 top kg.5 grigio,Weber,"guaina liquida impermeabilizzante elastomerico e idonea all'incapsulamento del cemento-amianto. monocomponente, resiste ai raggi uv, adatta a cls, vecchie guaine, legno, massetto",N/A,/images/weber_prodotti/Weberdrypronto24topkg5grigio.webp
Weberprim grip kg.5,Weber,"primer universale a base di resine sintetiche e sabbia di quarzo, pronto all'uso, per migliorare l'adesione di collanti cementizi e malte livellanti su superfici non assorbenti",N/A,/images/weber_prodotti/Weberprimgripkg5.webp
Weberprim ep 2k (kg.3 a+b kg.1),Weber,"primer epossidico bicomponente trasparente a base acqua per membrane impermeabilizzanti della linea weberdry pur, per superfici assorbenti e inassorbenti.",N/A,/images/weber_prodotti/Weberprimep2kkg3abkg1.webp
Weberdry pronto24 top kg5 rosso mattone impermeabilizzante,Weber,"Impermeabilizzante a base elastomerica, colorato pronto all uso.",N/A,/images/weber_prodotti/Weberdrypronto24topkg5rossomattoneimpermeabilizzante.webp
Webercol progres evo adesivo cementizio bianco sacco kg 25 C2TE,Weber,Adesivo cementizio ad alte prestazioni a scivolamento verticale nullo. posa di materiale inassorbente anche in sovrapposizione scivolamento verticale nullo.,N/A,/images/weber_prodotti/Webercolprogresevoadesivocementiziobiancosaccokg25C2TE.webp
Webercol progres evo adesivo cementizio grigio sacco kg 25 C2TE,Weber,Adesivo cementizio ad alte prestazioni a scivolamento verticale nullo. posa di materiale inassorbente anche in sovrapposizione scivolamento verticale nullo.,N/A,/images/weber_prodotti/Webercolprogresevoadesivocementiziogrigiosaccokg25C2TE.webp
Webertherm x-light 042 intonaco isolante  sacco lt 30,Weber,"Intonaco isolante termoacustico ad applicazione meccanizzata. isolante termico e fonoassorbente, per esterni e per interni, alleggerito con microsfere di eps.",N/A,/images/weber_prodotti/Weberthermx-light042intonacoisolantesaccolt30.webp
Webertherm ta8 tassello  100 pezzi,Weber,"Tassello universale in polietilene con vite in acciaio galvanizzato, cert. eta ad avvitamento per sottofondi in muratura per pannelli isolanti di sistemi a cappotto termico",N/A,/images/weber_prodotti/Weberthermta8tassello100pezzi.webp
Webertherm ta8 tassello  100 pezzi,Weber,"Tassello universale in polietilene con vite in acciaio galvanizzato, cert. eta ad avvitamento per sottofondi in muratura per pannelli isolanti di sistemi a cappotto termico",N/A,/images/weber_prodotti/Weberthermta8tassello100pezzi.webp
Webertherm ta8 tassello  100 pezzi,Weber,"Tassello universale in polietilene con vite in acciaio galvanizzato, cert. eta ad avvitamento per sottofondi in muratura per pannelli isolanti di sistemi a cappotto termico",N/A,/images/weber_prodotti/Weberthermta8tassello100pezzi.webp
Webertherm ta8 tassello  100 pezzi,Weber,"Tassello universale in polietilene con vite in acciaio galvanizzato, cert. eta ad avvitamento per sottofondi in muratura per pannelli isolanti di sistemi a cappotto termico",N/A,/images/weber_prodotti/Weberthermta8tassello100pezzi.webp
Webertherm re160 rete in fibra di vetro bianco rotolo 50x1  mt,Weber,Rete in fibra di vetro alcali-resistente per sistemi certificati eta per armatura e rinforzo del rasante e usata per pannelli isolanti nel sistema cappotto termico massa 160 g/mq,N/A,/images/weber_prodotti/Weberthermre160reteinfibradivetrobiancorotolo50x1mt.webp
Webertherm re145 rete in fibra di vetro giallo rotolo 50x1  mt,Weber,Rete in fibra di vetro alcali-resistente a maglia larga per armatura e rinforzo del rasante e usata per pannelli isolanti nel sistema cappotto termico massa 145 g/mq,N/A,/images/weber_prodotti/Weberthermre145reteinfibradivetrogiallorotolo50x1mt.webp
Webertherm pr7 gocciolatoio  scatola da 10 pz,Weber,"Gocciolatoio in pvc flessibile  con rete in fibra di vetro. favorisce il drenaggio dell’acqua piovana, ottima adesione, finitura precisa ed omogenea",N/A,/images/weber_prodotti/Weberthermpr7gocciolatoioscatolada10pz.webp
Webertherm pr3/120 profilo di partenza per cappotto  fascio da 10 pz,Weber,Profilo di partenza in alluminio con gocciolatoio per pannellimisolanti del sistema cappotto,N/A,/images/weber_prodotti/Weberthermpr3120profilodipartenzapercappottofascioda10pz.webp
Webertherm pr3/100 profilo di partenza per cappotto  fascio da 10 pz,Weber,Profilo di partenza in alluminio con gocciolatoio per pannellimisolanti del sistema cappotto,N/A,/images/weber_prodotti/Weberthermpr3100profilodipartenzapercappottofascioda10pz.webp
Webertherm pr1 paraspigolo  scatola da 100 pz,Weber,"Paraspigolo in pvc con rete in fibra di vetro, ottimale con la rete di armatura per sovrapposizione , ottima impregnazione grazie alla perforatura, nessuna formazione di crepe",N/A,/images/weber_prodotti/Weberthermpr1paraspigoloscatolada100pz.webp
Webertherm lv034 pannello isolante  5 lastre,Weber,"Pannello isolante in lana di vetro, fonoassorbenti, per sistemi a capotto termico, elevata traspirabilità, ignifugo resistente al fuoco, idonei ai criteri minimi ambientali cam",N/A,/images/weber_prodotti/Weberthermlv034pannelloisolante5lastre.webp
