name,marca,descrizione,image_url
Disco da taglio Expert,Kapriol,"Expert è il disco diamantato per smerigliatrice extra sottile e di lunga durata che garantisce prestazioni eccellenti, per un taglio netto e pulito anche sui materiali più resistenti. La speciale anima in acciaio con asole di scarico , unita alla qualità del carburo di tungsteno rendono questo disco diamantato i deale per il taglio con smerigliatrice di più materiali , come: legno da costruzione, compensato, truciolato, materiali in fibra (esempio MDF), laminato, parquet, epossidico, fibra di vetro, plastica cartongesso. TIPOLOGIA DI MATERIALE Legno 🟠🟠🟠 PVC 🟠🟠🟠 Cartongesso 🟠🟠🟠 STANDARD QUALITATIVI Qualità Platinum INDICAZIONI DI TAGLIO Taglio a secco",/images/kapriol_powertools/Disco_da_taglio_Expert.webp
Disco da taglio Master Finish Pro,Kapriol,"Disco da taglio Master Finish Pro realizzato con tecnologia Vacuum che permette un'elevata esposizione del diamante, e migliora l'efficienza di taglio, di raffreddamento e di durata nel tempo. Questo disco diamantato è particolarmente indicato per il taglio a secco o a umido di marmo e vetroresina, garantendo un taglio netto e pulito anche per materiali molto più resistenti. Il disco da taglio Master Finish Pro per macchine portatili è disponibile con diverso diametro da 115 mm fino a 230 mm e foro di 22,2 mm. TIPOLOGIA MATERIALE Marmo 🟠🟠🟠 Vetroresina 🟠🟠🟠 STANDARD QUALITATITIVI Qualità Platinum INDICAZIONI DI TAGLIO Taglio a secco Taglio a umido",/images/kapriol_powertools/Disco_da_taglio_Master_Finish_Pro.webp
Disco Zenith 3D Sonic Evolution,Kapriol,"Zenith 3D Sonic Evolution 3D è il nuovo disco da taglio che si avvale delle tecnologia 3D Evolution basata su una particolare disposizione geometrica dei grani di diamante in configurazioni equidistanti tra loro e perfettamente allineati su ogni strato del settore diamantato all’interno del legante. La nuova tecnologia di questo disco per smerigliatrice garantisce un miglioramento dal 30 al 70% della durata e delle prestazioni dell’utensile diamantato. Grazie a questa nuova tecnologia, quando uno strato di diamante si logora, un nuovo strato con la stessa quantità di grani allineati si espone uniformemente fuori dal legante. Il consumo uniforme di Zenith 3D consente alle macchine sulle quali viene montato di mantenere costante il numero di giri del motore e di non lavorare mai sotto carico. La tecnologia Silent invece, attraverso l'inserimento di uno strato di materiale fonoassorbente tra due anime in acciaio del disco diamantato, permette l'assorbimento delle vibrazioni e la riduzione dei rumori ad alta frequenza durante il taglio. Il disco diamantato Zenith 3D Sonic Evolution è indicato per il taglio di materiali resistenti come cemento, cemento armato, laterizi, pietra e granito . TIPOLOGIA MATERIALE Laterizio 🟠🟠🟠 Cemento 🟠🟠🟠 Cemento armato 🟠🟠🟠 Abrasivi/Refrattari 🟠🟠🟠 Granito/Pietra 🟠🟠🟠 STANDARD QUALITATITIVI Qualità Platinum INDICAZIONI DI TAGLIO Taglio a secco Taglio a umido",/images/kapriol_powertools/Disco_Zenith_3D_Sonic_Evolution.webp
Disco da taglio Jet R/F,Kapriol,"Disco diamantato di precisione con spessore ridotto del disco di 1,2 mm che garantisce un taglio pulito su tutti i tipi di piastrelle. Questo disco diamantato è indicato per lavori di precisione come il taglio di gres porcellanato, ceramica e granito. Il disco da taglio Jet R/F è adatto per macchine da taglio portatili con foro di 22,2 mm. TIPOLOGIA MATERIALE Ceramica/Klinker 🟠🟠🟠 Gres porcellanato 🟠🟠🟠 Granito/Pietra 🟠🟠🟠 STANDARD QUALITATITIVI Qualità Platinum INDICAZIONI DI TAGLIO Taglio a secco Taglio a umido",/images/kapriol_powertools/Disco_da_taglio_Jet_R_F.webp
Disco da taglio Master Cut,Kapriol,"Disco diamantato per ceramica Master Cut che consente un taglio netto e pulito su tutti i tipi di piastrelle in ceramica, klinker e gres porcellanato . Il disco diamantato da 115 mm si distingue per lo spessore ridotto del disco di 1,2 mm per garantire un taglio pulito su tutti i tipi di piastrelle, anche per i materiali più tenaci e resistenti. TIPOLOGIA MATERIALE Ceramica/Klinker 🟠🟠🟠 Gres porcellanato 🟠🟠 STANDARD QUALITATITIVI Qualità Premium INDICAZIONI DI TAGLIO Taglio a secco Taglio a umido",/images/kapriol_powertools/Disco_da_taglio_Master_Cut.webp
Disco da taglio Thin Cut,Kapriol,"Il disco diamantato per smerigliatrice Thin Cut è ideale per il taglio di ceramica e Klinker, oltre a gres porcellanato, granito e pietra. Questo disco da taglio è disponibile con due misure: con diametro di 125 mm e spessore di 1,4 mm, con diametro di 115 mm e spessore del disco ridotto di 1,2 mm per garantire un taglio pulito su titti i tipi di piastrelle. TIPOLOGIA MATERIALE Ceramica/Klinker 🟠🟠🟠 Gres porcellanato 🟠🟠 Granito/Pietra 🟠 STANDARD QUALITATITIVI Qualità Standard INDICAZIONI DI TAGLIO Taglio a secco Taglio a umido",/images/kapriol_powertools/Disco_da_taglio_Thin_Cut.webp
Disco da taglio JC 190,Kapriol,"Disco diamantato per piastrelle a corona continua , particolarmente indicato per il taglio di ceramiche, klinker, gres porcellanato e marmo. Il disco da taglio JC 190 garantisce prestazioni elevate, con un taglio netto e pulito sui materiali più tenaci, grazie anche alle speciali tecnologie di realizzazione che lo rendono particolarmente veloce. TIPOLOGIA MATERIALE Ceramica/Klinker 🟠🟠🟠 Gres porcellanato 🟠🟠 STANDARD QUALITATITIVI Qualità Premium INDICAZIONI DI TAGLIO Taglio a secco Taglio a umido",/images/kapriol_powertools/Disco_da_taglio_JC_190.webp
Disco diamantato Matrix,Kapriol,"Matrix è l' innovativo disco diamantato laser a settori che taglia ferro, acciaio e materiali da costruzione senza surriscaldarsi , con una durata di utilizzo pari a 500-700 dischi abrasivi, con una riduzione notevole delle scintille. La speciale combinazione di diamante rivestito al titanio e di un innovativo legante assicura un'eccellente velocità di taglio. L’ anima del disco rinforzata con fori di areazione , permette all’utensile di non surriscaldarsi, aumentandone la durata e mantenendo la massima velocità di taglio. Il disco da taglio Matrix garantisce elevate prestazioni: con lo stesso disco diventa possibile tagliare barre piatte in ferro, guard-rail, tondino in ferro d’armatura, tubi in ghisa, granito e pietra naturale, legno da cantiere fino allo spessore massimo di 2 cm. Questo disco diamantato rappresenta il massimo risultato delle tecnologie più evolute del sistema di produzione con disposizione del diamante non controllato, al servizio dell’operatore più esigente. TIPOLOGIA MATERIALE Laterizio 🟠 Cemento 🟠 Cemento armato 🟠🟠 Granito/Pietra 🟠🟠🟠 Ferro/Ghisa 🟠🟠🟠 Legno 🟠 STANDARD QUALITATITIVI Qualità platinum INDICAZIONI DI TAGLIO Taglio a secco Taglio a umido",/images/kapriol_powertools/Disco_diamantato_Matrix.webp
Disco diamantato Whisper,Kapriol,"Disco diamantato con anima silenziata grazie alla tecnologia Silent che, attraverso l'inserimento di uno strato di materiale fonoassorbente tra due anime in acciaio, garantisce l' assorbimento delle vibrazioni , con la riduzione dei rumori ad alta frequenza durante il lavoro, preservando l’operatore dai rischi derivanti da una eccessiva esposizione ai rumori. Il disco da taglio Whisper viene costruito con settori alternati , un settore tradizionale e un settore turbo: il particolare design del settore turbo consente di ridurre l’attrito del segmento sul materiale garantendo all’utilizzatore una maggiore velocità di taglio. TIPOLOGIA MATERIALE Laterizio 🟠🟠🟠 Cemento 🟠🟠🟠 Cemento armato 🟠🟠 Abrasivi/Refrattari 🟠 Granito/Pietra 🟠 STANDARD QUALITATITIVI Qualità Premium INDICAZIONI DI TAGLIO Taglio a secco Taglio a umido",/images/kapriol_powertools/Disco_diamantato_Whisper.webp
Disco smerigliatrice DS 200,Kapriol,"Il disco diamantato DS 200 per il taglio di laterizio, cemento e cemento armato, con foro di 22,2 mm , è disponibile nelle varianti con diametro di 115, 125 e 230 mm. Questo disco diamantato per cemento e cemento armato può essere utilizzato sia per taglio a secco che a umido. TIPOLOGIA MATERIALE Laterizio 🟠🟠 Cemento 🟠🟠 Cemento armato 🟠 STANDARD QUALITATITIVI Qualità Standard INDICAZIONI DI TAGLIO Taglio a secco Taglio a umido",/images/kapriol_powertools/Disco_smerigliatrice_DS_200.webp
Disco smerigliatrice DS 30 T,Kapriol,"Disco diamantato Kapriol per uso universale , di qualità basic, che può essere utilizzato sia per taglio a secco o a umido. Il disco diamantato DS 30 T è disponibile con diametro di 115 e 230 mm , ed è indicato per il taglio di materiali resistenti come laterizio, cemento armato, pietra e granito. TIPOLOGIA MATERIALE Laterizio 🟠 Cemento 🟠 Cemento armato 🟠 Granito/Pietra 🟠 STANDARD QUALITATITIVI Qualità Basic INDICAZIONI DI TAGLIO Taglio a secco Taglio a umido",/images/kapriol_powertools/Disco_smerigliatrice_DS_30_T.webp
Disco smerigliatrice DS 2500,Kapriol,"Il disco diamantato DS 2500 viene realizzato con speciali tecnologie che lo rendono particolarmente veloce garantendo un taglio netto e pulito su materiali tenaci e resistenti come cemento, granito e pietra. I dischi diamantati Kapriol sono certificati dall'ente OSA e garantiscono le proprietà di fabbricazione, qualità e sicurezza in conformità alla normativa EN 13236. TIPOLOGIA MATERIALE Laterizio 🟠🟠 Cemento 🟠🟠 Cemento armato 🟠🟠🟠 Abrasivi/Refrattari 🟠 Granito/Pietra 🟠🟠🟠 STANDARD QUALITATITIVI Qualità Premium INDICAZIONI DI TAGLIO Taglio a secco Taglio a umido",/images/kapriol_powertools/Disco_smerigliatrice_DS_2500.webp
Disco smerigliatrice DS 145 T,Kapriol,"Il disco diamantato DS 145 T per smerigliatrice, di qualità premium, è indicato per uso universale , e in modo particolare è adatto al taglio di materiali come laterizio, cemento, cemento armato, granito e pietra. Utilizabili per tagli a secco e a umido, i dischi diamanti Kapriol garantiscono precisione e lunga durata . Il disco per smerigliatrice DS 145 T assicura prestazioni elevate e versatilità ed è disponibile nelle due versioni con spessore 115-230 mm e foro di 22,2 mm. TIPOLOGIA MATERIALE Laterizio 🟠🟠🟠 Cemento 🟠🟠🟠 Cemento armato 🟠🟠 Granito/pietra 🟠🟠 STANDARD QUALITATITIVI Qualità Premium INDICAZIONI DI TAGLIO Taglio a secco Taglio a umido",/images/kapriol_powertools/Disco_smerigliatrice_DS_145_T.webp
Disco smerigliatrice DS 140 T,Kapriol,"Disco dimantato DS 140 T indicato per uso universale con diametro 115 - 230 mm e foro di 22,2 mm. Questo disco diamantato per macchine portatili con qualità standard è adatto per il taglio di laterizio, cemento, cemento armato, pietra e granito. TIPOLOGIA MATERIALE Laterizio 🟠🟠 Cemento 🟠🟠 Cemento armato 🟠 Granito/Pietra 🟠 STANDARD QUALITATITIVI Qualità Standard INDICAZIONI DI TAGLIO Taglio a secco Taglio a umido",/images/kapriol_powertools/Disco_smerigliatrice_DS_140_T.webp
Disco smerigliatrice DS 100 T,Kapriol,"Il disco diamantato DS 100 T è progettato per uso universale e può essere utilizzato per il taglio a secco di diversi materiali, come: laterizio, cemento, cemento armato, pietra e granito. Indicato per lavori di edilizia generale il disco diamantato DS 100 T è disponibile con un diametro di 115 e 230 mm . TIPOLOGIA MATERIALE Laterizio 🟠 Cemento 🟠 Cemento armato 🟠 Granito/Pietra 🟠 STANDARD QUALITATITIVI Qualità Basic INDICAZIONI DI TAGLIO Taglio a secco Taglio a umido",/images/kapriol_powertools/Disco_smerigliatrice_DS_100_T.webp
Disco da taglio Matrix 4Matic Evolution,Kapriol,"Disco diamantato realizzato con tecnologia Forged che attraverso l'utilizzo un mix esclusivo di leganti e diamanti, conferisce al disco la massima versatilità di taglio su tutti i tipi di materiali. Questo disco diamantato è indicato per il taglio di materiali resistenti come cemento armato, laterizio, pietra, ferro e ghisa. Il disco da taglio Matrix 4Matic Evolution garantisce vibrazioni ridotte e maggior comfort per l’operatore, oltre a una riduzione del 50% della possibilità di rottura o distacco del segmento dall’anima del disco. Certificati OSA in conformità alla normativa EN 13236 , i dischi da taglio Kapriol garantiscono prestazioni elevate e una lunga durata nel tempo. TIPOLOGIA MATERIALE Laterizio 🟠🟠🟠 Cemento 🟠🟠🟠 Cemento armato 🟠🟠🟠 Abrasivi/Refrattari 🟠🟠🟠 Ferro/Ghisa 🟠🟠🟠 Granito/Pietra 🟠🟠🟠 Asfalto 🟠🟠 STANDARD QUALITATITIVI Qualità platinum INDICAZIONI DI TAGLIO Taglio a secco Taglio a umido",/images/kapriol_powertools/Disco_da_taglio_Matrix_4Matic_Evolution.webp
Disco diamantato X Blade,Kapriol,"Disco diamantato prodotto con la rivoluzionaria tecnologia Forged che consiste nella forgiatura di un mix esclusivo di leganti e diamanti che conferiscono al disco la massima versatilità di taglio su tutti i tipi di materiali . Questi leganti utilizzati hanno la particolarità di resistere al calore , migliorando ulteriormente le proprie performance quando vengono sollecitati al massimo. Il disco diamantato multiuso X Blade garantisce una lunga durata e ha un'eccellente capacità di taglio, con livelli di vibrazione nettamente più bassi quando utilizzati manualmente da operatori. TIPOLOGIA MATERIALE Laterizio 🟠🟠🟠 Cemento 🟠🟠🟠 Cemento armato 🟠🟠 Abrasivi/Refrattari 🟠🟠 Ferro/Ghisa 🟠🟠 Asfalto 🟠🟠 Granito/Pietra 🟠🟠 STANDARD QUALITATITIVI Qualità platinum INDICAZIONI DI TAGLIO Taglio a secco Taglio a umido",/images/kapriol_powertools/Disco_diamantato_X_Blade.webp
Disco smerigliatrice JC 180 R/F,Kapriol,"Il disco diamantato JC 180 R/F con qualità standard ed è indicato per il taglio di ceramica, klinker, gres porcellanato e marmo. Grazie al suo spessore ridotto , il disco diamantato garantisce un taglio pulito e preciso su tutti i tipi di piastrelle, anche le più dure e tenaci. Progettato per l' uso a secco , questo disco diamantato per piastrelle offre versatilità e prestazioni affidabili in diverse applicazioni di lavorazione. TIPOLOGIA MATERIALE Ceramica/Klinker 🟠🟠 Gres porcellanato 🟠 STANDARD QUALITATITIVI Qualità standard INDICAZIONI DI TAGLIO Taglio a secco Taglio a umido",/images/kapriol_powertools/Disco_smerigliatrice_JC_180_R_F.webp
Disco smerigliatrice JC 200 ZL,Kapriol,"Il disco diamantato JC 200 ZL è ideale per il taglio di ceramica, klinker e marmo , garantendo precisione e versatilità in diverse condizioni di lavoro. Il disco per smerigliatrice portatile è realizzato con standard di qualità basic e consente di eseguire tagli a secco e a umido, offrendo massima flessibilità d'uso. TIPOLOGIA MATERIALE Ceramica 🟠 STANDARD QUALITATITIVI Qualità basic INDICAZIONI DI TAGLIO Taglio a secco Taglio a umido",/images/kapriol_powertools/Disco_smerigliatrice_JC_200_ZL.webp
Disco da taglio Zenith 3D F-LGS-SIL,Kapriol,"Il disco diamantato Zenith 3D F-LGS-SIL è indicato per il taglio di granito e pietra , grazie alla nuova tecnologia 3D Evolution , con grani di diamante disposti in diverse configurazioni equidistanti e perfettamente allineati su ogni strato del settore diamantato. Questa tecnologia permette un consumo uniforme del disco , esponendo costantemente nuovi strati diamantati. Il consumo uniforme dei disco da taglio Zenith 3D permette alle macchine di mantenere un numero di giri del motore costante e di non lavorare mai sotto carico. Il disco diamantato Zenith 3D F-LGS-SIL è certificato OSA secondo la normativa EN 13236 e alle norme di sicurezza in vigore. Questo disco diamantato per pietra e granito è adatto sia per taglio a secco sia a umido, e offre una lunga durata nel tempo con prestazioni superiori, grazie al sistema Silent Core con anima silenziata con assorbimento delle vibrazioni progettato per ridurre drasticamente il rumore . TIPOLOGIA MATERIALE Laterizio 🟠🟠🟠 Cemento 🟠🟠🟠 Cemento armato 🟠🟠🟠 Abrasivi/Refrattari 🟠🟠 Granito/Pietra 🟠🟠🟠 STANDARD QUALITATITIVI Qualità PLATINUM INDICAZIONI DI TAGLIO Taglio a secco Taglio a umido",/images/kapriol_powertools/Disco_da_taglio_Zenith_3D_F-LGS-SIL.webp
Disco da taglio Zenith 3D F-LCB,Kapriol,"Zenith 3D F-LCB è il nuovo disco da taglio che si avvale delle tecnologia 3D Evolution che consente di disporre i grani di diamante in svariate configurazioni, equidistanti tra loro e perfettamente allineati su ogni strato del settore diamantato all’interno del legante. La nuova tecnologia fa si che quando uno strato di diamante si logora, un nuovo strato con la stessa quantità si espone uniformemente fuori dal legante. Il disco da taglio Zenith 3D F-LCB è certificato OSA in conformità alla normativa EN 13236 ed è indicato per l' utilizzo con cemento, laterizio, pietra e granito , garantendo una lunga durata nel tempo. Il consumo uniforme dei dischi diamantati Zenith 3D consente di mantenere costante il numero di giri del motore e di non lavorare mai sotto carico, mantenedo la massima stabilità ed eliminando quasi totalmente gli eccessi di carico e le vibrazioni all’operatore. TIPOLOGIA MATERIALE Laterizio 🟠🟠🟠 Cemento 🟠🟠🟠 Cemento armato 🟠🟠🟠 Abrasivi/Refrattari 🟠🟠 Granito/Pietra 🟠🟠 STANDARD QUALITATITIVI Qualità Platinum INDICAZIONI DI TAGLIO Taglio a secco Taglio a umido",/images/kapriol_powertools/Disco_da_taglio_Zenith_3D_F-LCB.webp
Disco da taglio Zenith 3D F-TG,Kapriol,"Il disco diamantato per smerigliatrice Zenith 3D F-TG con qualità platinum è indicato per il taglio di laterizio, cemento, cemento armato, abrasivi/refrattari, granito e pietra, grazie alla tecnologia high speed che offre elevata velocità e un taglio netto e pulito anche su materiali tenaci. Questo disco diamantato viene realizzato con la moderna tecnologia Zenith 3D basata sulla disposizione geometrica dei grani di diamante in grado di aumentare del 30 al 70% la durata e le prestazioni del disco diamantato. Adatto sia per taglio a secco che a umido, il disco diamantato Zenith 3D F-TG garantisce una lunga durata, rendendolo uno strumento affidabile per professionisti. TIPOLOGIA MATERIALE Laterizio 🟠🟠🟠 Cemento 🟠🟠🟠 Cemento armato 🟠🟠🟠 Abrasivi/Refrattari 🟠🟠 Granito/Pietra 🟠🟠🟠 STANDARD QUALITATITIVI Qualità Platinum INDICAZIONI DI TAGLIO Taglio a secco Taglio a umido",/images/kapriol_powertools/Disco_da_taglio_Zenith_3D_F-TG.webp
Disco smerigliatrice Kobra,Kapriol,"Il disco diamantato Kobra di qualità Platinum è progettato per il taglio efficiente e preciso di gres porcellanato, ceramica, klinker, granito, pietra e marmo . Grazie alla struttura robusta e alla presenza di segmenti diamantati di alta qualità, questo disco per smerigliatrice garantisce una lunga durata e prestazioni eccellenti . Ideale per applicazioni di taglio a secco o a umido, il disco diamantato per gres porcellanato offre versatilità e affidabilità in vari contesti lavorativi. Il disco diamantato Kobra viene realizzato con speciali tecnologie che lo rendono particolarmente veloce con un taglio netto e pulito anche su materiali tenaci e resistenti. TIPOLOGIA MATERIALE Ceramica/Klinker 🟠🟠🟠 Gres porcellanato 🟠🟠🟠 Granito/Pietra 🟠🟠 STANDARD QUALITATITIVI Qualità Platinum INDICAZIONI DI TAGLIO Taglio a secco Taglio a umido",/images/kapriol_powertools/Disco_smerigliatrice_Kobra.webp
DISCO ABRASIVO 115 MULTIUSO,Kapriol,,/images/kapriol_powertools/DISCO_ABRASIVO_115_MULTIUSO.webp
Disco lamellare,Kapriol,"Disco a lamelle con supporto in nylon adatto per la pulitura di acciaio, legno, metalli non ferrosi e loro leghe. Progettato per garantire una finitura uniforme, questo disco lamellare assicura una rimozione efficace del materiale senza danneggiare la superficie. Il disco a lamelle Kapriol è conforme alla normativa EN 12413 e offre prestazioni eccellenti e una lunga durata. SPECIFICHE TECNICHE disco radiale a lamelle con supporto in nylon normativa EN 12413",/images/kapriol_powertools/Disco_lamellare.webp
