name,brand,image_url,descrizione
HE 525 MF,l'Europea,/images/europea_prodotti/HE525MF.webp,"Alimentazione	monofase
Tensione	220 V
Frequenza	50 Hz
Potenza motore	2 Hp
Potenza motore	1500 W
Portata massima	500 Kg
Tiro utile	60 M
Velocità di salita	22 M/min
Peso elevatore	120 Kg
Dimensioni mm	540 x 2200 x 610"
HE 525 TF,l'Europea,/images/europea_prodotti/HE525TF.webp,"Alimentazione	trifase
Tensione	220 V
Frequenza	50 Hz
Potenza motore	3,4 Hp
Potenza motore	2500 W
Portata massima	500 Kg
Tiro utile	60 M
Velocità di salita	22 M/min
Peso elevatore	120 Kg
Dimensioni mm	540 x 2200 x 610"
HE 725 TF,l'Europea,/images/europea_prodotti/HE725TF.webp,"Alimentazione	trifase
Tensione	380 V
Frequenza	50 Hz
Potenza motore	4 Hp
Potenza motore	3000 W
Portata massima	700 Kg
Tiro utile	60 M
Velocità di salita	22 M/min
Diametro fune	7 mm
Peso elevatore	135 Kg
Dimensioni mm	2620X3000X2150"
HG 200,l'Europea,/images/europea_prodotti/HG200.webp,"Alimentazione	monofase
Tensione	220 V
Frequenza	50 Hz
Potenza motore	900 W
Portata massima	200 Kg
Tiro utile	50 M
Tiro utile massimo	100 M
Velocità di salita	Ver. base 23 - Ver. inverter 7-13-20-33-45 M/min
Diametro fune	5 mm
Peso elevatore	53 Kg
Dimensioni mm	800x300x435"
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
