name,marca,descrizione,categoria,image_url
"Kit 3 deflettori Ø 6 acciaio temprato per pittura, rasanti, fughe",imer,"Kit 3 deflettori Ø 6 acciaio temprato per pittura, rasanti, fughe",,"/images/imer_products/Kit_3_deflettori_Ø_6_acciaio_temprato_per_pittura,_rasanti,_fughe.webp"
Kit 3 deflettori Ø 8 acciaio temprato per rasanti,imer,Kit 3 deflettori Ø 8 acciaio temprato per rasanti,,/images/imer_products/Kit_3_deflettori_Ø_8_acciaio_temprato_per_rasanti.webp
Kit 3 deflettori Ø 12 acciaio temprato per fughe con ausilio compressore,imer,Kit 3 deflettori Ø 12 acciaio temprato per fughe con ausilio compressore,,/images/imer_products/Kit_3_deflettori_Ø_12_acciaio_temprato_per_fughe_con_ausilio_compressore.webp
Deflettore con portagomma 13-16 mm,imer,Deflettore con portagomma 13-16 mm,,/images/imer_products/Deflettore_con_portagomma_13-16_mm.webp
Pistola per fughe. Con sensore di comando: On – Aperto / Off – Chiuso. Presa 24 Volt,imer,Pistola per fughe. Con sensore di comando: On – Aperto / Off – Chiuso. Presa 24 Volt,,/images/imer_products/Pistola_per_fughe._Con_sensore_di_comando__On_–_Aperto___Off_–_Chiuso._Presa_24_Volt.webp
Lancia per fughe conica. Tubo in acciaio sezionabile per ottenere il diametro d’uscita desiderato. Valvola antispandimento,imer,Lancia per fughe conica. Tubo in acciaio sezionabile per ottenere il diametro d’uscita desiderato. Valvola antispandimento,,/images/imer_products/Lancia_per_fughe_conica._Tubo_in_acciaio_sezionabile_per_ottenere_il_diametro_d’uscita_desiderato._Valvola_antispandimento.webp
Boccaglio ricurvo Ø 25,imer,Boccaglio ricurvo Ø 25,,/images/imer_products/Boccaglio_ricurvo_Ø_25.webp
"Lancia Spritz Beton per additivo - camme DN 50 completa di attacchi rapidi Geka 3/4"" con attacco per silicato",imer,"Lancia Spritz Beton per additivo - camme DN 50 completa di attacchi rapidi Geka 3/4"" con attacco per silicato",,/images/imer_products/Lancia_Spritz_Beton_per_additivo_-_camme_DN_50_completa_di_attacchi_rapidi_Geka_3_4__con_attacco_per_silicato.webp
Lancia Spritz Beton senza additivo - DN 50-2 vie,imer,Lancia Spritz Beton senza additivo - DN 50-2 vie,,/images/imer_products/Lancia_Spritz_Beton_senza_additivo_-_DN_50-2_vie.webp
Kit duse e fascetta per lancia Spritz Beton 2 vie,imer,Kit duse e fascetta per lancia Spritz Beton 2 vie,,/images/imer_products/Kit_duse_e_fascetta_per_lancia_Spritz_Beton_2_vie.webp
Kit 10 pz Deflettori Ø 10 (Duse)in poliuretano per intonaco premiscelato,imer,Kit 10 pz Deflettori Ø 10 (Duse)in poliuretano per intonaco premiscelato,,/images/imer_products/Kit_10_pz_Deflettori_Ø_10_(Duse)in_poliuretano_per_intonaco_premiscelato.webp
Kit 10 pz Deflettori Ø 12 (Duse) in poliuretano per intonaco premiscelato,imer,Kit 10 pz Deflettori Ø 12 (Duse) in poliuretano per intonaco premiscelato,,/images/imer_products/Kit_10_pz_Deflettori_Ø_12_(Duse)_in_poliuretano_per_intonaco_premiscelato.webp
Kit 10 pz Deflettori Ø 14 (Duse) in poliuretano per intonaco premiscelato,imer,Kit 10 pz Deflettori Ø 14 (Duse) in poliuretano per intonaco premiscelato,,/images/imer_products/Kit_10_pz_Deflettori_Ø_14_(Duse)_in_poliuretano_per_intonaco_premiscelato.webp
Kit 10 pz Deflettori Ø 16 (Duse) in poliuretano per intonaco premiscelato,imer,Kit 10 pz Deflettori Ø 16 (Duse) in poliuretano per intonaco premiscelato,,/images/imer_products/Kit_10_pz_Deflettori_Ø_16_(Duse)_in_poliuretano_per_intonaco_premiscelato.webp
Kit 5 Deflettori Ø 10 in poliuretano per intonaco tradizionale,imer,Kit 5 Deflettori Ø 10 in poliuretano per intonaco tradizionale,,/images/imer_products/Kit_5_Deflettori_Ø_10_in_poliuretano_per_intonaco_tradizionale.webp
Kit 5 Deflettori Ø 12 in poliuretano per intonaco tradizionale,imer,Kit 5 Deflettori Ø 12 in poliuretano per intonaco tradizionale,,/images/imer_products/Kit_5_Deflettori_Ø_12_in_poliuretano_per_intonaco_tradizionale.webp
Kit 5 Deflettori Ø 14 in poliuretano per intonaco tradizionale,imer,Kit 5 Deflettori Ø 14 in poliuretano per intonaco tradizionale,,/images/imer_products/Kit_5_Deflettori_Ø_14_in_poliuretano_per_intonaco_tradizionale.webp
Kit 5 Deflettori Ø 16 in poliuretano per intonaco tradizionale,imer,Kit 5 Deflettori Ø 16 in poliuretano per intonaco tradizionale,,/images/imer_products/Kit_5_Deflettori_Ø_16_in_poliuretano_per_intonaco_tradizionale.webp
Kit 10 pezzi spugna per pulizia tubo Ø 25,imer,Kit 10 pezzi spugna per pulizia tubo Ø 25,,/images/imer_products/Kit_10_pezzi_spugna_per_pulizia_tubo_Ø_25.webp
Kit 10 pezzi spugna per pulizia tubo Ø 35,imer,Kit 10 pezzi spugna per pulizia tubo Ø 35,,/images/imer_products/Kit_10_pezzi_spugna_per_pulizia_tubo_Ø_35.webp
Kit 10 pezzi spugna per pulizia tubo Ø 50,imer,Kit 10 pezzi spugna per pulizia tubo Ø 50,,/images/imer_products/Kit_10_pezzi_spugna_per_pulizia_tubo_Ø_50.webp
Kit 10 pezzi spugna per pulizia tubo Ø 60,imer,Kit 10 pezzi spugna per pulizia tubo Ø 60,,/images/imer_products/Kit_10_pezzi_spugna_per_pulizia_tubo_Ø_60.webp
Kit lavaggio tubi Ø 35 accessorio per Lavaggio tubi DN 35 (con aria / acqua),imer,Kit lavaggio tubi Ø 35 accessorio per Lavaggio tubi DN 35 (con aria / acqua),,/images/imer_products/Kit_lavaggio_tubi_Ø_35_accessorio_per_Lavaggio_tubi_DN_35_(con_aria___acqua).webp
Kit lavaggio tubi Ø 25 accessorio per Lavaggio tubo DN 25 (con aria / acqua),imer,Kit lavaggio tubi Ø 25 accessorio per Lavaggio tubo DN 25 (con aria / acqua),,/images/imer_products/Kit_lavaggio_tubi_Ø_25_accessorio_per_Lavaggio_tubo_DN_25_(con_aria___acqua).webp
Kit lavaggio tubi Ø 50 accessorio per lavaggio tubi DN 50 (con aria / acqua),imer,Kit lavaggio tubi Ø 50 accessorio per lavaggio tubi DN 50 (con aria / acqua),,/images/imer_products/Kit_lavaggio_tubi_Ø_50_accessorio_per_lavaggio_tubi_DN_50_(con_aria___acqua).webp
Tubo portamateriale Ø 19 - 10 m con attacchi a camme,imer,Tubo portamateriale Ø 19 - 10 m con attacchi a camme,,/images/imer_products/Tubo_portamateriale_Ø_19_-_10_m_con_attacchi_a_camme.webp
Tubo portamateriale Ø 25 - 15 m con attacchi a camme,imer,Tubo portamateriale Ø 25 - 15 m con attacchi a camme,,/images/imer_products/Tubo_portamateriale_Ø_25_-_15_m_con_attacchi_a_camme.webp
Tubo portamateriale Ø 25 - 10 m con attacchi a camme,imer,Tubo portamateriale Ø 25 - 10 m con attacchi a camme,,/images/imer_products/Tubo_portamateriale_Ø_25_-_10_m_con_attacchi_a_camme.webp
Tubo portamateriale Ø 25 - 5 m con attacchi a camme,imer,Tubo portamateriale Ø 25 - 5 m con attacchi a camme,,/images/imer_products/Tubo_portamateriale_Ø_25_-_5_m_con_attacchi_a_camme.webp
Tubo portamateriale Ø 35 - 10 m con attacchi a camme,imer,Tubo portamateriale Ø 35 - 10 m con attacchi a camme,,/images/imer_products/Tubo_portamateriale_Ø_35_-_10_m_con_attacchi_a_camme.webp
Tubo portamateriale 10 m Ø 50 con attacco a camme,imer,Tubo portamateriale 10 m Ø 50 con attacco a camme,,/images/imer_products/Tubo_portamateriale_10_m_Ø_50_con_attacco_a_camme.webp
Tubo portamateriale 20 m Ø 50 con attacco a camme,imer,Tubo portamateriale 20 m Ø 50 con attacco a camme,,/images/imer_products/Tubo_portamateriale_20_m_Ø_50_con_attacco_a_camme.webp
Tubo portamateriale Ø 25 M35/M25 - 5 m con attacchi a camme,imer,Tubo portamateriale Ø 25 M35/M25 - 5 m con attacchi a camme,,/images/imer_products/Tubo_portamateriale_Ø_25_M35_M25_-_5_m_con_attacchi_a_camme.webp
Tubo portamateriale Ø 35 M50/F35 - 20 m con attacchi a camme,imer,Tubo portamateriale Ø 35 M50/F35 - 20 m con attacchi a camme,,/images/imer_products/Tubo_portamateriale_Ø_35_M50_F35_-_20_m_con_attacchi_a_camme.webp
Kit riduzione attacco a camme Ø 35 F - Ø 25 M,imer,Kit riduzione attacco a camme Ø 35 F - Ø 25 M,,/images/imer_products/Kit_riduzione_attacco_a_camme_Ø_35_F_-_Ø_25_M.webp
Kit riduzione attacco a camme Ø 35 F - Ø 50 M,imer,Kit riduzione attacco a camme Ø 35 F - Ø 50 M,,/images/imer_products/Kit_riduzione_attacco_a_camme_Ø_35_F_-_Ø_50_M.webp
Tubo aria Ø 13 - 5 m con attacchi Geka,imer,Tubo aria Ø 13 - 5 m con attacchi Geka,,/images/imer_products/Tubo_aria_Ø_13_-_5_m_con_attacchi_Geka.webp
Tubo aria Ø 13 - 10 m con attacchi Geka,imer,Tubo aria Ø 13 - 10 m con attacchi Geka,,/images/imer_products/Tubo_aria_Ø_13_-_10_m_con_attacchi_Geka.webp
Tubo aria Ø 13 - 16 m con attacchi Geka,imer,Tubo aria Ø 13 - 16 m con attacchi Geka,,/images/imer_products/Tubo_aria_Ø_13_-_16_m_con_attacchi_Geka.webp
Tubo aria Ø 13 - 20 m con attacchi Geka,imer,Tubo aria Ø 13 - 20 m con attacchi Geka,,/images/imer_products/Tubo_aria_Ø_13_-_20_m_con_attacchi_Geka.webp
Gruppo misuratore pressione raccordato DN 25M DN 25F. Manometro 0-100,imer,Gruppo misuratore pressione raccordato DN 25M DN 25F. Manometro 0-100,,/images/imer_products/Gruppo_misuratore_pressione_raccordato_DN_25M_DN_25F._Manometro_0-100.webp
"Cuffia d’insufflamento (Koine 4, Koine 35)",imer,"Cuffia d’insufflamento (Koine 4, Koine 35)",,"/images/imer_products/Cuffia_d’insufflamento_(Koine_4,_Koine_35).webp"
10 m Tubo 65x84 portamateriale 10 bar Ø 65 con attacco perrot,imer,10 m Tubo 65x84 portamateriale 10 bar Ø 65 con attacco perrot,,/images/imer_products/10_m_Tubo_65x84_portamateriale_10_bar_Ø_65_con_attacco_perrot.webp
20 m Tubo 65x84 portamateriale 10 bar Ø 65 con attacco perrot,imer,20 m Tubo 65x84 portamateriale 10 bar Ø 65 con attacco perrot,,/images/imer_products/20_m_Tubo_65x84_portamateriale_10_bar_Ø_65_con_attacco_perrot.webp
"13,30 m Tubo 60x79 portamateriale 10 bar Ø 60 con attacco filettato/flow",imer,"13,30 m Tubo 60x79 portamateriale 10 bar Ø 60 con attacco filettato/flow",,"/images/imer_products/13,30_m_Tubo_60x79_portamateriale_10_bar_Ø_60_con_attacco_filettato_flow.webp"
Tubo portamateriale 10 m Ø 50 con attacco camme,imer,Tubo portamateriale 10 m Ø 50 con attacco camme,,/images/imer_products/Tubo_portamateriale_10_m_Ø_50_con_attacco_camme.webp
Tubo portamateriale 20 m Ø 50 con attacco camme,imer,Tubo portamateriale 20 m Ø 50 con attacco camme,,/images/imer_products/Tubo_portamateriale_20_m_Ø_50_con_attacco_camme.webp
Tubo portamateriale 10 m Ø 60 con attacco camme,imer,Tubo portamateriale 10 m Ø 60 con attacco camme,,/images/imer_products/Tubo_portamateriale_10_m_Ø_60_con_attacco_camme.webp
Tubo portamateriale 20 m Ø 60 con attacco camme,imer,Tubo portamateriale 20 m Ø 60 con attacco camme,,/images/imer_products/Tubo_portamateriale_20_m_Ø_60_con_attacco_camme.webp
"Kit ad. Tubi racc. Perrot DN 65 Rac. Filettato F 2 1/2""",imer,"Kit ad. Tubi racc. Perrot DN 65 Rac. Filettato F 2 1/2""",,/images/imer_products/Kit_ad._Tubi_racc._Perrot_DN_65_Rac._Filettato_F_2_1_2_.webp
Kit ad. Tub. Rac. filettato Trapezoidale,imer,Kit ad. Tub. Rac. filettato Trapezoidale,,/images/imer_products/Kit_ad._Tub._Rac._filettato_Trapezoidale.webp
"Raccordo uscita serbatoio filettato F 2 ½"" Per tubo DN 60 raccordato camlock",imer,"Raccordo uscita serbatoio filettato F 2 ½"" Per tubo DN 60 raccordato camlock",,/images/imer_products/Raccordo_uscita_serbatoio_filettato_F_2_½__Per_tubo_DN_60_raccordato_camlock.webp
