name,brand,description,image_url
LANTERNA - LAMPIONE 3 LUCICHARME,Papillon,"alluminio pressofuso
diffusore in vetro
portalampada in ceramica: E27
controbase e accessori di montaggio inclusi
lampada non inclusa
colore nero
grado di protezione: IP43
dimensione: 59,9x52x103-203H cm",/images/papillon_prodotti/LANTERNA_-_LAMPIONE_3_LUCICHARME.webp
LAMPIONCINO SQUADRATO DA ESTERNO -  CON PRESA SCHUKOSQUARED,Papillon,"per esterni
struttura in acciaio inossidabile
diffusore in policarbonato
portalampada in ceramica: E27
accessori per il fissaggio inclusi
lampada esclusa
colore Nero
presa: 1x schuko 3500W
grado di protezione: IP44
dimensione: 8,5x9,6x60 cm
base: 13x13 cm",/images/papillon_prodotti/LAMPIONCINO_SQUADRATO_DA_ESTERNO_-__CON_PRESA_SCHUKOSQUARED.webp
LAMPIONCINO SQUADRATO DA ESTERNOSQUARED,Papillon,"per esterni
struttura in acciaio inossidabile
diffusore in policarbonato
portalampada in ceramica: E27
accessori per il fissaggio inclusi
lampada esclusa
colore Nero
grado di protezione: IP44
dimensione: 8,4x8,4x60 cm
base: 13x13 cm",/images/papillon_prodotti/LAMPIONCINO_SQUADRATO_DA_ESTERNOSQUARED.webp
GLOBO PER LAMPIONE ANTIURTO - TRASPARENTE,Papillon,"portalampada in ceramica: E27
grado di protezione: IP45",/images/papillon_prodotti/GLOBO_PER_LAMPIONE_ANTIURTO_-_TRASPARENTE.webp
GLOBO PER LAMPIONE ANTIURTO - BIANCO LATTE,Papillon,"portalampada in ceramica: E27
grado di protezione: IP45",/images/papillon_prodotti/GLOBO_PER_LAMPIONE_ANTIURTO_-_BIANCO_LATTE.webp
GLOBO PER LAMPIONE ANTIURTO - FUMÉ,Papillon,"portalampada in ceramica: E27
grado di protezione: IP45",/images/papillon_prodotti/GLOBO_PER_LAMPIONE_ANTIURTO_-_FUMÉ.webp
BRACCIO PER LAMPIONE,Papillon,per lampada globo,/images/papillon_prodotti/BRACCIO_PER_LAMPIONE.webp
PALO PER LAMPIONE Ø 60MM,Papillon,per lampada globo,/images/papillon_prodotti/PALO_PER_LAMPIONE_Ø_60MM.webp
BASE PER PALO LAMPIONE Ø 60MM,Papillon,N/A,/images/papillon_prodotti/BASE_PER_PALO_LAMPIONE_Ø_60MM.webp
FARETTO,Papillon,"per esterni - con picchetto
struttura in alluminio
colore bianco
diffusore in vetro
portalampada: GU 10
lampada esclusa
grado di protezione: IP65
dimensione: Ø 6x32 cm",/images/papillon_prodotti/FARETTO.webp
