name,Marca,Descrizione,image_url
Colonna doccia in ottone cromato con deviatore e soffione da Ø202 mm Gattoni Orta Old KT125/27C0.OLD,Gattoni,"Marca: Gattoni Rubinetterie
Serie: Orta Old
Doccetta monogetto anticalcare
Flessibile lungo 150 cm
Miscelatore meccanico
Soffione da Ø202 mm
Deviatore
Attacchi standard 1/2""G inclusi
Materiale: ottone
Colore: cromo",/images/gattoni_prodotti/ColonnadocciainottonecromatocondeviatoreesoffionedaØ202mmGattoniOrtaOldKT12527C0OLD.webp
Composizione completa bagno in stile retrò Gattoni Orta KITORTA2C0,Gattoni,"Marca: Gattoni Rubinetteria
Serie: Orta Old
Materiale: ottone
Finitura: cromo",/images/gattoni_prodotti/ComposizionecompletabagnoinstileretròGattoniOrtaKITORTA2C0.webp
Composizione completa per doccia in colore cromo Gattoni Orta KT100/27C0.OL,Gattoni,"Marca: Gattoni Rubinetterie
Serie: Orta Old
Soffione Ø200 mm in ottone
Braccio doccia in ottone 390 mm
Kit presa acqua in ottone con supporto doccia
Doccia in ottone anti-calcare
Flessibile in ottone 150 cm
Miscelatore meccanico
deviatore
Corpo da incasso GBOX incluso
Installazione su cartongesso: SI
Materiale: ottone
Colore: cromo",/images/gattoni_prodotti/ComposizionecompletaperdocciaincolorecromoGattoniOrtaKT10027C0OL.webp
Composizione doccia in colore cromo-oro Gattoni Antigua 3490/PDCD,Gattoni,"Marca: Gattoni Rubinetteria
Serie: Antigua
Attacchi standard 1/2""G inclusi
Piastra Ø155 mm
Deviatore a 2 uscite
Corpo incasso incluso
Soffione Ø200 mm
Braccio doccia 390 mm
Supporto doccetta a muro orientabile
Flessibile lungo 150 cm
Doccetta monogetto
Materiale: ottone
Colore: cromo-oro",/images/gattoni_prodotti/Composizionedocciaincolorecromo-oroGattoniAntigua3490PDCD.webp
Coppia di rubinetti ad incasso in colore nero opaco Gattoni Taolos 1505515NO,Gattoni,"Marca: Gattoni Rubinetteria
Serie: Taolos
Corpo incasso incluso
Movimento ceramico
Connessione 1/2"" Gas
Materiale: ottone
Colore: nero opaco",/images/gattoni_prodotti/CoppiadirubinettiadincassoincoloreneroopacoGattoniTaolos1505515NO.webp
Gruppo esterno vasca colore cromo con set doccia Gattoni Orta 2710/27C0.OLD,Gattoni,"Marca: Gattoni Rubinetterie
Serie: Orta Old
N° 2 raccordi eccentrici 1/2""G
Flessibile in ottone 150 cm incluso
doccia in ottone e resina bianca
Deviatore
Leva di comando in resina bianca
Garanzia 5 anni
Materiale: ottone
Colore: cromo",/images/gattoni_prodotti/GruppoesternovascacolorecromoconsetdocciaGattoniOrta271027C0OLD.webp
Gruppo esterno vasca colore oro 24K con set doccia Gattoni Orta 2710/27D0.OLD,Gattoni,"Marca: Gattoni Rubinetterie
Serie: Orta Old
N° 2 raccordi eccentrici 1/2""G
Flessibile in ottone 150 cm incluso
doccia in ottone e resina bianca
Deviatore
Leva di comando in resina bianca
Supporto a parete in ottone
Garanzia 5 anni
Materiale: ottone
Colore: Oro 24K",/images/gattoni_prodotti/Gruppoesternovascacoloreoro24KconsetdocciaGattoniOrta271027D0OLD.webp
Gruppo vasca esterno con set doccia in colore acciaio anticato Gattoni Calypso 1150150A0,Gattoni,"Marca: Gattoni Rubinetterie
Serie: Calypso
Set doccia in metallo
Deviatore rotativo
Flessibile in ottone incluso
N° 2 eccentrici 1/2""G inclusi
Interasse di connessione 150 mm
Colore: acciaio anticato
Materiale: ottone
Garanzia 5 anni",/images/gattoni_prodotti/GruppovascaesternoconsetdocciaincoloreacciaioanticatoGattoniCalypso1150150A0.webp
Gruppo vasca esterno con set doccia in colore bianco lucido Gattoni Calypso 115015001,Gattoni,"Marca: Gattoni Rubinetterie
Serie: Calypso
set doccia in metallo
deviatore rotativo
flessibile in ottone cromato
n° 2 eccentrici 1/2""g inclusi
interasse di connessione 150 mm
Colore: bianco lucido
Materiale: Ottone
garanzia 5 anni",/images/gattoni_prodotti/GruppovascaesternoconsetdocciaincolorebiancolucidoGattoniCalypso115015001.webp
Gruppo vasca esterno con set doccia in colore bronzo Gattoni Calypso 1150150V0,Gattoni,"Marca: Gattoni Rubinetterie
Serie: Calypso
set doccia in metallo
deviatore rotativo
flessibile in ottone incluso
n° 2 eccentrici 1/2""g inclusi
interasse di connessione 150 mm
Colore: bronzo antico
Materiale: Ottone
garanzia 5 anni",/images/gattoni_prodotti/GruppovascaesternoconsetdocciaincolorebronzoGattoniCalypso1150150V0.webp
Gruppo vasca esterno con set doccia in colore cromo oro Gattoni Calypso 1150150CD,Gattoni,"Marca: Gattoni Rubinetterie
Serie: Calypso
Set doccia in metallo
Deviatore rotativo
Flessibile in ottone incluso
N° 2 eccentrici 1/2""G inclusi
Interasse di connessione 150 mm
Colore: cromo oro
Materiale: ottone
garanzia 5 anni",/images/gattoni_prodotti/GruppovascaesternoconsetdocciaincolorecromooroGattoniCalypso1150150CD.webp
Gruppo vasca esterno con set doccia in colore oro Gattoni Calypso 1150150D0,Gattoni,"Marca: Gattoni Rubinetterie
Serie: Calypso
set doccia in metallo
deviatore rotativo
flessibile in ottone cromato
n° 2 eccentrici 1/2""g inclusi
interasse di connessione 150 mm
Colore: oro
Materiale: Ottone
garanzia 5 anni",/images/gattoni_prodotti/GruppovascaesternoconsetdocciaincoloreoroGattoniCalypso1150150D0.webp
